Zip,Unknown,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+
60912,0,0,0,0,0,0,0,0,0
60914,0,0,14,22,14,25,12,9,12
60915,0,0,7,0,17,0,0,0,0
60919,0,0,0,0,0,0,0,0,0
60922,0,0,0,0,0,0,0,0,0
60927,0,0,0,0,0,0,0,0,23
60928,0,0,0,0,0,0,0,0,0
60930,0,0,0,0,0,0,0,0,0
60940,0,0,0,0,0,0,0,0,0
60950,0,0,7,0,6,0,8,9,22
60954,0,0,0,0,0,0,0,0,0
60955,0,0,0,0,0,0,0,0,0
60957,0,0,0,0,0,0,0,0,0
60958,0,0,0,0,0,0,0,0,0
60964,0,0,0,0,0,8,0,0,0
60970,0,0,0,0,0,0,0,0,0
61008,0,26,38,39,34,46,24,25,35
61010,0,0,0,0,0,0,0,0,0
61012,0,0,7,0,0,0,0,0,0
61016,0,0,0,0,8,0,0,0,0
61021,0,0,13,8,16,14,6,0,0
61032,0,13,35,28,27,23,9,0,0
61054,0,0,0,0,0,0,0,0,0
61061,0,0,0,0,0,0,0,0,0
61064,0,0,0,0,0,0,0,0,0
61065,0,0,8,0,10,0,0,0,0
61068,0,10,21,25,24,25,11,0,0
61071,0,0,0,0,0,9,8,0,0
61072,0,0,6,0,0,0,0,0,0
61073,0,0,6,7,13,0,0,0,0
61080,0,0,0,0,0,9,0,0,0
61081,0,0,6,8,7,7,8,0,18
61084,0,0,0,0,0,0,0,0,0
61088,0,0,0,0,0,0,0,0,0
61101,0,28,42,32,30,24,15,6,6
61102,0,30,32,27,15,26,15,7,6
61103,0,10,37,34,26,28,18,8,9
61104,0,26,47,31,31,26,9,0,0
61107,0,13,32,29,14,19,10,8,0
61108,0,17,31,39,30,29,28,30,17
61109,0,14,52,31,32,15,15,0,0
61111,0,0,14,17,0,13,12,0,0
61114,0,6,16,14,6,14,6,0,0
61115,0,0,18,10,13,6,11,0,0
61201,0,10,19,31,24,24,24,19,16
61235,0,0,0,0,0,0,0,0,0
61239,0,0,0,0,0,0,0,0,0
61240,0,0,0,0,0,0,0,0,0
61241,0,0,0,0,0,0,0,0,0
61244,0,9,24,27,21,37,13,9,9
61252,0,0,0,0,0,0,0,0,12
61254,0,0,0,0,0,0,0,0,0
61256,0,0,0,0,0,0,0,0,0
61264,0,0,0,0,0,0,0,0,0
61265,0,9,23,31,26,39,29,15,9
61270,0,0,0,0,0,0,0,0,0
61275,0,0,0,0,0,0,0,0,0
61282,0,0,0,6,10,0,0,0,0
61341,0,0,0,0,0,0,13,0,11
61342,0,0,0,0,0,8,0,0,0
61350,0,0,0,0,0,0,0,0,0
61356,0,0,0,0,0,0,0,0,0
61401,0,0,13,11,15,17,10,0,0
61410,0,0,0,0,0,0,0,0,0
61443,0,0,0,0,0,7,0,0,0
61455,0,0,24,0,0,0,0,8,13
61462,0,0,19,30,24,15,10,0,0
61469,0,0,0,0,0,0,0,0,0
61525,0,0,0,0,0,0,0,0,0
61548,0,0,0,0,0,0,0,0,0
61554,0,0,0,0,0,0,0,0,0
61603,0,0,0,0,6,0,0,0,0
61604,0,0,0,0,6,0,0,0,0
61605,0,0,0,8,0,0,0,0,0
61610,0,0,0,0,0,0,0,0,0
61611,0,0,0,0,0,0,0,0,0
61614,0,0,0,9,0,0,0,6,11
61615,0,0,0,0,0,7,0,0,0
61701,0,0,0,6,8,6,9,0,0
61704,0,0,9,6,9,6,11,14,10
61705,0,0,0,0,0,0,0,0,0
61761,0,0,21,0,0,0,6,0,0
61764,0,0,0,0,0,0,0,0,0
61801,0,0,8,0,0,0,0,0,0
61802,0,9,10,14,8,0,7,0,0
61820,0,18,24,13,9,8,0,0,0
61821,0,17,20,13,12,9,0,0,0
61822,0,0,9,0,8,11,0,0,0
61832,0,0,0,0,0,0,0,0,0
61853,0,0,0,0,0,0,0,0,0
61866,0,21,29,34,18,12,0,0,0
61874,0,0,0,0,6,0,0,0,0
61910,0,0,0,0,0,0,0,0,0
61920,0,0,8,0,6,8,9,6,16
61938,0,0,0,6,6,0,0,0,0
61953,0,0,0,0,0,0,0,0,0
62002,0,0,13,11,13,14,10,9,14
62010,0,0,0,0,0,0,0,0,0
62012,0,0,0,0,0,0,0,0,0
62018,0,0,0,0,0,0,0,0,0
62024,0,0,0,0,0,0,0,0,0
62025,0,0,7,10,13,11,21,22,22
62034,0,0,0,0,0,0,6,0,30
62035,0,0,0,0,0,6,0,0,0
62040,0,0,6,14,13,19,10,0,0
62052,0,0,0,0,0,0,0,0,0
62056,0,0,0,0,0,0,0,0,0
62060,0,0,0,0,0,0,0,0,0
62062,0,0,0,0,0,0,0,0,0
62069,0,0,0,0,0,0,0,0,0
62088,0,0,0,0,0,0,0,0,0
62090,0,0,0,0,0,0,0,0,0
62095,0,0,0,6,0,0,0,0,0
62201,0,0,0,0,0,0,0,0,0
62203,0,0,0,7,7,0,0,0,0
62204,0,0,0,6,10,7,0,0,0
62205,0,0,0,8,8,6,6,0,0
62206,0,6,13,9,21,21,6,0,0
62207,0,10,7,0,10,11,6,6,0
62208,0,0,0,6,9,8,15,0,0
62220,0,0,10,8,10,12,9,19,27
62221,0,6,15,9,14,18,8,0,0
62223,0,0,0,10,9,9,0,0,0
62226,0,7,9,14,6,25,21,18,10
62230,0,0,0,0,0,0,0,0,0
62231,0,0,0,0,0,0,8,7,44
62232,0,0,0,0,0,0,0,0,0
62233,0,6,21,24,16,16,0,0,0
62234,0,0,7,12,8,7,6,6,0
62236,0,0,0,0,0,0,0,0,25
62237,0,0,0,0,0,0,0,0,0
62238,0,0,0,0,0,0,0,0,0
62239,0,0,0,0,0,0,0,0,0
62243,0,0,0,0,0,0,0,0,0
62246,0,0,0,0,0,0,0,0,0
62249,0,0,0,0,0,0,0,0,0
62254,0,0,0,0,0,0,0,7,11
62257,0,0,0,0,0,0,0,0,0
62258,0,0,0,0,0,0,0,0,0
62265,0,0,0,0,0,0,11,0,0
62269,0,0,8,17,8,10,8,6,0
62272,0,0,13,12,8,0,0,0,0
62274,0,0,0,0,0,0,0,0,0
62278,0,0,0,0,0,0,0,0,0
62285,0,0,0,0,0,0,0,0,0
62286,0,0,7,6,0,7,7,0,0
62288,0,0,0,7,0,6,11,0,0
62293,0,0,0,0,0,0,0,0,0
62294,0,0,0,0,0,0,0,0,0
62295,0,0,0,0,0,0,0,0,0
62298,0,0,0,9,0,11,11,0,0
62301,0,0,7,0,0,7,0,0,0
62305,0,0,0,0,0,0,0,0,0
62353,0,0,0,0,0,0,0,0,0
62428,0,0,0,0,0,0,0,0,0
62441,0,0,0,0,0,0,0,0,0
62448,0,0,0,0,0,0,0,0,24
62454,0,0,0,0,0,0,0,0,0
62471,0,0,0,0,0,0,6,0,0
62521,0,0,8,9,7,10,13,17,33
62522,0,0,0,8,0,6,0,0,0
62526,0,0,11,6,7,0,0,0,0
62560,0,0,0,0,0,0,0,0,0
62565,0,0,0,0,0,0,6,0,0
62568,0,0,0,0,0,0,0,7,7
62618,0,0,14,15,13,9,0,0,0
62629,0,0,0,0,0,0,0,0,0
62650,0,0,6,6,0,0,0,0,0
62656,0,0,0,0,0,0,0,0,0
62664,0,0,0,0,0,0,0,0,0
62675,0,0,0,0,0,0,0,0,0
62681,0,0,0,0,0,0,0,0,0
62684,0,0,0,0,0,0,0,16,39
62702,0,0,8,16,12,11,6,0,0
62703,0,0,8,8,9,8,9,0,0
62704,0,0,7,6,7,6,6,0,0
62707,0,0,0,0,0,0,0,0,0
62711,0,0,10,0,0,0,0,0,0
62801,0,0,7,8,9,13,11,0,0
62832,0,0,0,0,6,0,0,0,0
62837,0,0,0,0,0,0,0,0,0
62864,0,0,8,0,0,0,0,10,45
62882,0,0,0,0,0,0,0,0,0
62901,0,8,29,15,13,11,11,6,10
62902,0,0,0,0,0,0,0,0,0
62906,0,6,0,0,0,0,0,0,25
62907,0,0,0,0,0,0,0,0,0
62912,0,0,0,0,0,0,0,0,0
62918,0,0,0,0,0,6,0,0,0
62920,0,0,0,0,6,10,13,9,0
62948,0,0,0,0,0,0,0,0,0
62959,0,0,6,0,0,7,0,0,0
62966,0,0,10,15,11,0,6,0,0
62992,0,0,9,9,11,0,0,0,0
